a,Name,zipcode,year,Value
416,CASSILIS,2329,2016,0.030566417564592746
417,CASTLE ROCK,2333,2016,0.011245169754503202
418,CASULA,2170,2016,0.001845555231966533
419,CATARACT,2560,2016,0.0031767067621678827
420,CAWDOR,2570,2016,0.004281974329989149
421,CEDAR BRUSH CREEK,2259,2016,0.0011139884465146692
422,CHAIN VALLEY BAY,2259,2016,0.0011139884465146692
423,CHARLES STURT UNIVERSITY,2795,2016,0.007082766125822788
424,CHARLTON,2795,2016,0.007082766125822788
425,CHIPPING NORTON,2170,2016,0.001845555231966533
426,CHISHOLM,2322,2016,0.0013660353276461494
427,CHULLORA,2190,2016,0.0014046412487197517
428,CLEAR CREEK,2795,2016,0.007082766125822788
429,CLEMTON PARK,2206,2016,0.00202351752993796
430,CLYDESDALE,2330,2016,0.00840477599807136
431,COBBITTY,2570,2016,0.004281974329989149
432,COLO,2795,2016,0.007082766125822788
433,COMBO,2330,2016,0.00840477599807136
434,CONISTON,2500,2016,0.0034439309472986137
435,COPPERHANNIA,2795,2016,0.007082766125822788
436,COW FLAT,2795,2016,0.007082766125822788
437,CRANGAN BAY,2259,2016,0.0011139884465146692
438,CRUDINE,2795,2016,0.007082766125822788
439,CURRAGH,2795,2016,0.007082766125822788
440,DARK CORNER,2795,2016,0.007082766125822788
441,DARLINGTON,2330,2016,0.00840477599807136
442,DARUKA,2340,2016,0.022578855600878283
443,DOG ROCKS,2795,2016,0.007082766125822788
444,DOORALONG,2259,2016,0.0011139884465146692
445,DOYLES CREEK,2330,2016,0.00840477599807136
446,DUNCANS CREEK,2340,2016,0.022578855600878283
447,DUNGOWAN,2340,2016,0.022578855600878283
448,DUNKELD,2795,2016,0.007082766125822788
449,DUNOLLY,2330,2016,0.00840477599807136
450,DURAL,2330,2016,0.00840477599807136
451,DURAMANA,2795,2016,0.007082766125822788
452,DURREN DURREN,2259,2016,0.0011139884465146692
453,DYRRING,2330,2016,0.00840477599807136
454,EARLWOOD,2206,2016,0.00202351752993796
455,EAST TAMWORTH,2340,2016,0.022578855600878283
456,EDDERTON,2333,2016,0.011245169754503202
457,EGLINTON,2795,2016,0.007082766125822788
458,ELDERSLIE,2570,2016,0.004281974329989149
459,ELERMORE VALE,2287,2016,0.004170949086502324
460,ELLIS LANE,2570,2016,0.004281974329989149
461,ENGLORIE PARK,2560,2016,0.0031767067621678827
462,EVANS PLAINS,2795,2016,0.007082766125822788
463,FALBROOK,2330,2016,0.00840477599807136
464,FERN GULLY,2330,2016,0.00840477599807136
465,FITZGERALDS VALLEY,2795,2016,0.007082766125822788
466,FLETCHER,2287,2016,0.004170949086502324
467,FORDWICH,2330,2016,0.00840477599807136
468,FOREST GROVE,2795,2016,0.007082766125822788
469,FOSTERS VALLEY,2795,2016,0.007082766125822788
470,FRAZER PARK,2259,2016,0.0011139884465146692
471,FREEMANS,2259,2016,0.0011139884465146692
472,FREEMANTLE,2795,2016,0.007082766125822788
473,GARLAND VALLEY,2330,2016,0.00840477599807136
474,GAROO,2340,2016,0.022578855600878283
475,GEMALLA,2795,2016,0.007082766125822788
476,GEORGES PLAINS,2795,2016,0.007082766125822788
477,GIDLEY,2340,2016,0.022578855600878283
478,GILEAD,2560,2016,0.0031767067621678827
479,GILMANDYKE,2795,2016,0.007082766125822788
480,GLANMIRE,2795,2016,0.007082766125822788
481,GLEN ALPINE,2560,2016,0.0031767067621678827
482,GLENDON,2330,2016,0.00840477599807136
483,GLENDON BROOK,2330,2016,0.00840477599807136
484,GLENMORE,2570,2016,0.004281974329989149
485,GLENNIES CREEK,2330,2016,0.00840477599807136
486,GLENRIDDING,2330,2016,0.00840477599807136
487,GOONOO GOONOO,2340,2016,0.022578855600878283
488,GOORANGOOLA,2330,2016,0.00840477599807136
489,GORMANS HILL,2795,2016,0.007082766125822788
490,GOULDSVILLE,2330,2016,0.00840477599807136
491,GOWAN,2795,2016,0.007082766125822788
492,GOWRIE,2340,2016,0.022578855600878283
493,GRASMERE,2570,2016,0.004281974329989149
494,GREENACRE,2190,2016,0.0014046412487197517
495,GREENLANDS,2330,2016,0.00840477599807136
496,GUNGAL,2333,2016,0.011245169754503202
497,GWANDALAN,2259,2016,0.0011139884465146692
498,GWYNNEVILLE,2500,2016,0.0034439309472986137
499,HALLORAN,2259,2016,0.0011139884465146692
500,HALLSVILLE,2340,2016,0.022578855600878283
501,HAMBLEDON HILL,2330,2016,0.00840477599807136
502,HAMLYN TERRACE,2259,2016,0.0011139884465146692
503,HAMMONDVILLE,2170,2016,0.001845555231966533
504,HANGING ROCK,2340,2016,0.022578855600878283
505,HEBDEN,2330,2016,0.00840477599807136
506,HEXHAM,2322,2016,0.0013660353276461494
507,HILLVUE,2340,2016,0.022578855600878283
508,HOBBYS YARDS,2795,2016,0.007082766125822788
509,HOWES VALLEY,2330,2016,0.00840477599807136
510,HOWICK,2330,2016,0.00840477599807136
511,HUNTERVIEW,2330,2016,0.00840477599807136
512,HUNTINGWOOD,2148,2016,0.003507360426783508
513,ISABELLA,2795,2016,0.007082766125822788
514,JEREMY,2795,2016,0.007082766125822788
515,JERRYS PLAINS,2330,2016,0.00840477599807136
